0x40012400:	0x00000012	0x00000100	0x001e0001	0x00000000
0x40012410:	0x00000036	0x00000000	0x00000000	0x00000000
0x40012420:	0x00000000	0x00000fff	0x00000000	0x00100000
0x40012430:	0x00000000	0x00000020	0x00000000	0x00000000
0x40012440:	0x00000000	0x00000000	0x00000000	0x000009a5
0x40012450:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012460:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012470:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012480:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012490:	0x00000000	0x00000000	0x00000000	0x00000000
0x400124a0:	0x00000000	0x00000000	0x00000000	0x00000000
0x400124b0:	0x00000000	0x00000000	0x00000000	0x00000000
0x400124c0:	0x00000000	0x00000000	0x00000000	0x00000000
0x400124d0:	0x00000000	0x00000000	0x00000000	0x00000000
0x400124e0:	0x00000000	0x00000000	0x00000000	0x00000000
0x400124f0:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012500:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012510:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012520:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012530:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012540:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012550:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012560:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012570:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012580:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012590:	0x00000000	0x00000000	0x00000000	0x00000000
0x400125a0:	0x00000000	0x00000000	0x00000000	0x00000000
0x400125b0:	0x00000000	0x00000000	0x00000000	0x00000000
0x400125c0:	0x00000000	0x00000000	0x00000000	0x00000000
0x400125d0:	0x00000000	0x00000000	0x00000000	0x00000000
0x400125e0:	0x00000000	0x00000000	0x00000000	0x00000000
0x400125f0:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012600:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012610:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012620:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012630:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012640:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012650:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012660:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012670:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012680:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012690:	0x00000000	0x00000000	0x00000000	0x00000000
0x400126a0:	0x00000000	0x00000000	0x00000000	0x00000000
0x400126b0:	0x00000000	0x00000000	0x00000000	0x00000000
0x400126c0:	0x00000000	0x00000000	0x00000000	0x00000000
0x400126d0:	0x00000000	0x00000000	0x00000000	0x00000000
0x400126e0:	0x00000000	0x00000000	0x00000000	0x00000000
0x400126f0:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012700:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012710:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012720:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012730:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012740:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012750:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012760:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012770:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012780:	0x00000000	0x00000000	0x00000000	0x00000000
0x40012790:	0x00000000	0x00000000	0x00000000	0x00000000
0x400127a0:	0x00000000	0x00000000	0x00000000	0x00000000
0x400127b0:	0x00000000	0x00000000	0x00000000	0x00000000
0x400127c0:	0x00000000	0x00000000	0x00000000	0x00000000
0x400127d0:	0x00000000	0x00000000	0x00000000	0x00000000
0x400127e0:	0x00000000	0x00000000	0x00000000	0x00000000
0x400127f0:	0x00000000	0x00000000	0x00000000	0x00000000
