0x40006400:	0x00010002	0x00000c0a	0x1c000000	0x00000000
0x40006410:	0x00000000	0x00000000	0x00000000	0x01230000
0x40006420:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x40006430:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x40006440:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x40006450:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x40006460:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x40006470:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x40006480:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x40006490:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x400064a0:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x400064b0:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x400064c0:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x400064d0:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x400064e0:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x400064f0:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x40006500:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x40006510:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x40006520:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x40006530:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x40006540:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x40006550:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x40006560:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x40006570:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x40006580:	0x3ea5a5aa	0x5db001b5	0x1432fdc3	0x5720c2ab
0x40006590:	0x94f75110	0xac2aac9c	0x1bbdab29	0x3346046f
0x400065a0:	0x7463b34a	0xf811ead7	0x3a1d1d05	0xabb92fca
0x400065b0:	0xf8865f95	0xf8ac9b38	0xcc4abba9	0x575ace7f
0x400065c0:	0x85d10350	0x88f3b32d	0xe8aab369	0x6ebf079d
0x400065d0:	0x6ebf079d	0x6ebf079d	0x6ebf079d	0x6ebf079d
0x400065e0:	0x6ebf079d	0x6ebf079d	0x6ebf079d	0x6ebf079d
0x400065f0:	0x6ebf079d	0x6ebf079d	0x6ebf079d	0x6ebf079d
0x40006600:	0x2a1c0e01	0x00000000	0x00000000	0x00000000
0x40006610:	0x00000000	0x00000000	0x00000000	0x00000000
0x40006620:	0x00000000	0x6ebf079d	0x6ebf079d	0x6ebf079d
0x40006630:	0x6ebf079d	0x6ebf079d	0x6ebf079d	0x6ebf079d
0x40006640:	0x6a488224	0x7c4759d7	0x1c1543db	0xba7b28fb
0x40006650:	0x331454b7	0x871aaaa6	0xad20e203	0xf72ae860
0x40006660:	0xc17822e3	0xc5bd7680	0x05cdf438	0xc472b6fb
0x40006670:	0x34556470	0x3b73a1a4	0x14f67222	0xb7793164
0x40006680:	0xa10a8892	0x50799e88	0xdd05c52d	0x682f6e3b
0x40006690:	0x3d5df025	0xb81690ed	0xbaaec1a9	0x109471d5
0x400066a0:	0x8eae714a	0x051f60f2	0x22cd3445	0xaadc63e6
0x400066b0:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x400066c0:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x400066d0:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x400066e0:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x400066f0:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x40006700:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x40006710:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x40006720:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x40006730:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x40006740:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x40006750:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x40006760:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x40006770:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x40006780:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x40006790:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x400067a0:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x400067b0:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x400067c0:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x400067d0:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x400067e0:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
0x400067f0:	0xaadc63e6	0xaadc63e6	0xaadc63e6	0xaadc63e6
