0x50040000:	0x0000000b	0x00000010	0x10000001	0x80011003
0x50040010:	0x00000000	0x30000006	0x00c00000	0x00000000
0x50040020:	0x0fff0000	0x00ff0000	0x00ff0000	0x00000000
0x50040030:	0x00440242	0x00000000	0x00000000	0x00000000
0x50040040:	0x000003aa	0x00000000	0x00000000	0x00000000
0x50040050:	0x00000000	0x00000000	0x00000000	0x00000000
0x50040060:	0x00000000	0x00000000	0x00000000	0x00000000
0x50040070:	0x00000000	0x00000000	0x00000000	0x00000000
0x50040080:	0x00000000	0x00000000	0x00000000	0x00000000
0x50040090:	0x00000000	0x00000000	0x00000000	0x00000000
0x500400a0:	0x00000000	0x00000000	0x00000000	0x00000000
0x500400b0:	0x00000000	0x0000003e	0x00000000
