0x40006400:	0x00010002	0x00000c0a	0x1c000000	0x00000000
0x40006410:	0x00000000	0x00000000	0x00000000	0x01230000
0x40006420:	0x00000000	0x00000000	0x00000000	0x00000000
0x40006430:	0x00000000	0x00000000	0x00000000	0x00000000
0x40006440:	0x00000000	0x00000000	0x00000000	0x00000000
0x40006450:	0x00000000	0x00000000	0x00000000	0x00000000
0x40006460:	0x00000000	0x00000000	0x00000000	0x00000000
0x40006470:	0x00000000	0x00000000	0x00000000	0x00000000
0x40006480:	0x00000000	0x00000000	0x00000000	0x00000000
0x40006490:	0x00000000	0x00000000	0x00000000	0x00000000
0x400064a0:	0x00000000	0x00000000	0x00000000	0x00000000
0x400064b0:	0x00000000	0x00000000	0x00000000	0x00000000
0x400064c0:	0x00000000	0x00000000	0x00000000	0x00000000
0x400064d0:	0x00000000	0x00000000	0x00000000	0x00000000
0x400064e0:	0x00000000	0x00000000	0x00000000	0x00000000
0x400064f0:	0x00000000	0x00000000	0x00000000	0x00000000
0x40006500:	0x00000000	0x00000000	0x00000000	0x00000000
0x40006510:	0x00000000	0x00000000	0x00000000	0x00000000
0x40006520:	0x00000000	0x00000000	0x00000000	0x00000000
0x40006530:	0x00000000	0x00000000	0x00000000	0x00000000
0x40006540:	0x00000000	0x00000000	0x00000000	0x00000000
0x40006550:	0x00000000	0x00000000	0x00000000	0x00000000
0x40006560:	0x00000000	0x00000000	0x00000000	0x00000000
0x40006570:	0x00000000	0x00000000	0x00000000	0x00000000
0x40006580:	0x3e25a5ae	0x5db001b5	0x9413fdcb	0x7720c2ab
0x40006590:	0x94f65210	0x6e2aacdc	0x9bbdab09	0x3347046f
0x400065a0:	0x7463b24a	0xf911ce57	0x3b1f9d45	0xabb9af4b
0x400065b0:	0xd0861f95	0x78ac9b38	0xcc4aaba9	0x575ac677
0x400065c0:	0x85d10352	0x88f3b32d	0xe8aab369	0x6ebf87bd
0x400065d0:	0x6ebf87bd	0x6ebf87bd	0x6ebf87bd	0x6ebf87bd
0x400065e0:	0x6ebf87bd	0x6ebf87bd	0x6ebf87bd	0x6ebf87bd
0x400065f0:	0x6ebf87bd	0x6ebf87bd	0x6ebf87bd	0x6ebf87bd
0x40006600:	0x2a1c0e01	0x00000000	0x00000000	0x00000000
0x40006610:	0x00000000	0x00000000	0x00000000	0x00000000
0x40006620:	0x00000000	0x6ebf87bd	0x6ebf87bd	0x6ebf87bd
0x40006630:	0x6ebf87bd	0x6ebf87bd	0x6ebf87bd	0x6ebf87bd
0x40006640:	0x6a488226	0xfc4758d7	0x1c1503d3	0xba7b28fb
0x40006650:	0x739954b7	0x871aaaa6	0xbd20e243	0xf72ac860
0x40006660:	0xc17822eb	0xc4bd7688	0x0ccdf438	0x8472b6eb
0x40006670:	0x24557470	0x3f73a1a4	0x54f6f222	0x37793164
0x40006680:	0xa30b0892	0x5079beb8	0xdd25c40d	0x482f6e1b
0x40006690:	0x3d1df027	0xb81e10e5	0xbaaec5ab	0x009471e5
0x400066a0:	0x82ba7142	0x471f60f2	0x22cd3465	0x2adc43e6
0x400066b0:	0x2adc43e6	0x2adc43e6	0x2adc43e6	0x2adc43e6
0x400066c0:	0x2adc43e6	0x2adc43e6	0x2adc43e6	0x2adc43e6
0x400066d0:	0x2adc43e6	0x2adc43e6	0x2adc43e6	0x2adc43e6
0x400066e0:	0x2adc43e6	0x2adc43e6	0x2adc43e6	0x2adc43e6
0x400066f0:	0x2adc43e6	0x2adc43e6	0x2adc43e6	0x2adc43e6
0x40006700:	0x2adc43e6	0x2adc43e6	0x2adc43e6	0x2adc43e6
0x40006710:	0x2adc43e6	0x2adc43e6	0x2adc43e6	0x2adc43e6
0x40006720:	0x2adc43e6	0x2adc43e6	0x2adc43e6	0x2adc43e6
0x40006730:	0x2adc43e6	0x2adc43e6	0x2adc43e6	0x2adc43e6
0x40006740:	0x2adc43e6	0x2adc43e6	0x2adc43e6	0x2adc43e6
0x40006750:	0x2adc43e6	0x2adc43e6	0x2adc43e6	0x2adc43e6
0x40006760:	0x2adc43e6	0x2adc43e6	0x2adc43e6	0x2adc43e6
0x40006770:	0x2adc43e6	0x2adc43e6	0x2adc43e6	0x2adc43e6
0x40006780:	0x2adc43e6	0x2adc43e6	0x2adc43e6	0x2adc43e6
0x40006790:	0x2adc43e6	0x2adc43e6	0x2adc43e6	0x2adc43e6
0x400067a0:	0x2adc43e6	0x2adc43e6	0x2adc43e6	0x2adc43e6
0x400067b0:	0x2adc43e6	0x2adc43e6	0x2adc43e6	0x2adc43e6
0x400067c0:	0x2adc43e6	0x2adc43e6	0x2adc43e6	0x2adc43e6
0x400067d0:	0x2adc43e6	0x2adc43e6	0x2adc43e6	0x2adc43e6
0x400067e0:	0x2adc43e6	0x2adc43e6	0x2adc43e6	0x2adc43e6
0x400067f0:	0x2adc43e6	0x2adc43e6	0x2adc43e6	0x2adc43e6
