0x40006400:	0x00010002	0x00000c0a	0x1c000000	0x00000000
0x40006410:	0x00000000	0x00000000	0x00000000	0x01230000
0x40006420:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x40006430:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x40006440:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x40006450:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x40006460:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x40006470:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x40006480:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x40006490:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x400064a0:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x400064b0:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x400064c0:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x400064d0:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x400064e0:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x400064f0:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x40006500:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x40006510:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x40006520:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x40006530:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x40006540:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x40006550:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x40006560:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x40006570:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x40006580:	0x3e25a7aa	0x5df003b5	0x1433fdc3	0x5720c2ab
0x40006590:	0x94d65310	0x6e2aac9c	0x1fbdeb29	0x1346046d
0x400065a0:	0x7463b24a	0xd911ced7	0x3a1f1d05	0x8bb92fca
0x400065b0:	0xd0861f95	0xf8acdb38	0x8c4aaba9	0x575ac67f
0x400065c0:	0x85d10350	0x88f3b32d	0xe8a2b36b	0x6ebfc71d
0x400065d0:	0x6ebfc71d	0x6ebfc71d	0x6ebfc71d	0x6ebfc71d
0x400065e0:	0x6ebfc71d	0x6ebfc71d	0x6ebfc71d	0x6ebfc71d
0x400065f0:	0x6ebfc71d	0x6ebfc71d	0x6ebfc71d	0x6ebfc71d
0x40006600:	0x2a1c0e01	0x00000000	0x00000000	0x00000000
0x40006610:	0x00000000	0x00000000	0x00000000	0x00000000
0x40006620:	0x00000000	0x6ebfc71d	0x6ebfc71d	0x6ebfc71d
0x40006630:	0x6ebfc71d	0x6ebfc71d	0x6ebfc71d	0x6ebfc71d
0x40006640:	0x6a488224	0x7c475955	0x1c1501d3	0xb87b38fb
0x40006650:	0x731974b5	0x8718aaa6	0xbd20e24b	0xf728e860
0x40006660:	0xe17862eb	0xc5bd7680	0x05cdf438	0xc472b6eb
0x40006670:	0x74557470	0x3b73a1a4	0x54f6f22a	0x3779316c
0x40006680:	0xe00b28b2	0x5079be88	0xfd25b529	0x483f6e1b
0x40006690:	0x3d5df027	0xb81610cd	0xbaaec1ab	0x009471d5
0x400066a0:	0x84ba7142	0x45176073	0xe2cd3445	0xaabc63e6
0x400066b0:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x400066c0:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x400066d0:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x400066e0:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x400066f0:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x40006700:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x40006710:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x40006720:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x40006730:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x40006740:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x40006750:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x40006760:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x40006770:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x40006780:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x40006790:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x400067a0:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x400067b0:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x400067c0:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x400067d0:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x400067e0:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
0x400067f0:	0xaabc63e6	0xaabc63e6	0xaabc63e6	0xaabc63e6
