0x58004000:	0x00000600	0x00000004	0x00000000	0x00000000
0x58004010:	0x00000000	0xc0000000	0x00000000	0x00000000
0x58004020:	0x3ffff0aa	0x000000ff	0x00000000	0x0000007f
0x58004030:	0x0000007f	0x000000ff	0x00000000	0xffffffff
0x58004040:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004050:	0x00000000	0x00000000	0x00000000	0x00000600
0x58004060:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004070:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004080:	0x80ff00ff	0xfeff8000	0x00000000	0x00000000
0x58004090:	0x00000000	0x00000000	0x00000000	0x00000000
0x580040a0:	0x00000000	0x00000000	0x00000000	0x00000000
0x580040b0:	0x00000000	0x00000000	0x00000000	0x00000000
0x580040c0:	0x00000000	0x00000000	0x00000000	0x00000000
0x580040d0:	0x00000000	0x00000000	0x00000000	0x00000000
0x580040e0:	0x00000000	0x00000000	0x00000000	0x00000000
0x580040f0:	0x00000000	0x00000000	0x000001ff	0x00006809
0x58004100:	0x000040f0	0x00000400	0x00000000	0x00000000
0x58004110:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004120:	0x00000000	0x00000000	0x000000ff	0x00000000
0x58004130:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004140:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004150:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004160:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004170:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004180:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004190:	0x00000000	0x00000000	0x00000000	0x00000000
0x580041a0:	0x00000000	0x00000000	0x00000000	0x00000000
0x580041b0:	0x00000000	0x00000000	0x00000000	0x00000000
0x580041c0:	0x00000000	0x00000000	0x00000000	0x00000000
0x580041d0:	0x00000000	0x00000000	0x00000000	0x00000000
0x580041e0:	0x00000000	0x00000000	0x00000000	0x00000000
0x580041f0:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004200:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004210:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004220:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004230:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004240:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004250:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004260:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004270:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004280:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004290:	0x00000000	0x00000000	0x00000000	0x00000000
0x580042a0:	0x00000000	0x00000000	0x00000000	0x00000000
0x580042b0:	0x00000000	0x00000000	0x00000000	0x00000000
0x580042c0:	0x00000000	0x00000000	0x00000000	0x00000000
0x580042d0:	0x00000000	0x00000000	0x00000000	0x00000000
0x580042e0:	0x00000000	0x00000000	0x00000000	0x00000000
0x580042f0:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004300:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004310:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004320:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004330:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004340:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004350:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004360:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004370:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004380:	0x00000000	0x00000000	0x00000000	0x00000000
0x58004390:	0x00000000	0x00000000	0x00000000	0x00000000
0x580043a0:	0x00000000	0x00000000	0x00000000	0x00000000
0x580043b0:	0x00000000	0x00000000	0x00000000	0x00000000
0x580043c0:	0x00000000	0x00000000	0x00000000	0x00000000
0x580043d0:	0x00000000	0x00000000	0x00000000	0x00000000
0x580043e0:	0x00000000	0x00000000	0x00000000	0x00000000
0x580043f0:	0x00000000	0x00000000	0x00000000	0x00000000
